"","Age","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2000b","X2001b","X2002b","X2003b","X2004b","X2005b","X2006b","X2007b","X2008b","X2009b","X2010b","X2011b","X2012b","X2013b","X2014b","X2015b","X2016b","X2017b","X2018b","X2019b","X2020b","X2021b","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",1,27277,25813,12674,88314,18465,56801,29865,55011,22328,19908,75266,36899,51496,15008,4032,47183,93387,45024,37849,36872,31661,32399,2,0,11,0,4,37,1,0,1,16,3,190,16,2,0,0,5,1,19,0,0,0,7.33218462440884e-05,0,0.000867918573457472,0,0.000216626049282426,0.000651396982447492,3.34840113845639e-05,0,4.47868147617341e-05,0.000803697006228652,3.98586347088991e-05,0.0051491910349874,0.000310703743980115,0.000133262260127932,0,0,5.3540642701875e-05,2.22103766879886e-05,0.000501994768686095,0,0,0
"2",2,18304,27265,25772,12549,87892,18268,56687,29404,54893,22310,19807,74794,36600,51479,15006,4023,47151,93287,45011,37823,36870,31653,2,0,18,0,163,1434,0,21,0,5,0,23,138,10,2,9,0,1,3,1,0,6,0.000109265734265734,0,0.000698432407263697,0,0.00185454876439266,0.0784979198598642,0,0.000714188545776085,0,0.000224114746750336,0,0.000307511297697676,0.00377049180327869,0.000194253967637289,0.000133280021324803,0.00223713646532438,0,1.0719607233591e-05,6.66503743529359e-05,2.64389392697565e-05,0,0.000189555492370391
"3",3,62734,18290,27263,25751,12516,87679,16834,56437,29365,54848,22272,19779,74702,36460,51465,14730,4007,47135,93244,44999,37812,36869,1,0,690,2,4,21,2,114,4,5,0,4,10,5,39,325,2,0,2,1,0,19,1.59403194440017e-05,0,0.0253090268862561,7.76668867228457e-05,0.000319590923617769,0.000239510030908199,0.000118807175953428,0.0020199514502897,0.000136216584369147,9.11610268378063e-05,0,0.000202234693361646,0.000133865224491981,0.00013713658804169,0.000757796560769455,0.0220638153428377,0.000499126528574994,0,2.14491012826563e-05,2.22227160603569e-05,0,0.000515338088909382
"4",4,50377,62693,18284,26545,25735,12499,87643,16578,56282,27972,54578,22262,19770,74692,36453,51401,14359,3993,47121,93179,44971,37806,25,3,5,0,36,11,7,249,2,7,96,1,0,7,0,815,0,0,0,2,0,2,0.000496258213073426,4.78522323066371e-05,0.00027346313716911,0,0.00139887312997863,0.000880070405632451,7.98694704654108e-05,0.0150199058993847,3.55353398955261e-05,0.00025025025025025,0.00175895049287259,4.49195939268709e-05,0,9.37182027526375e-05,0,0.0158557226513103,0,0,0,2.14640637911976e-05,0,5.29016558218272e-05
"5",5,77034,50301,62624,18243,26528,25599,9877,87022,16329,56279,27725,54367,21711,19770,74637,36438,50561,14300,3987,47103,93147,44942,67,15,4844,0,2,58,58,46,11,2589,54,17,191,5,6,64,0,0,1,0,2,38,0.000869745826518161,0.00029820480706149,0.0773505365355135,0,7.53920386007238e-05,0.00226571350443377,0.00587222840943606,0.00052860196272207,0.000673648110723253,0.0460029495904334,0.00194770063119928,0.000312689683079809,0.00879738381465616,0.000252908447142135,8.03890831625065e-05,0.00175640814534277,0,0,0.000250815149235014,0,2.14714376201059e-05,0.000845534244136888
"6",6,20534,76575,50282,57661,18237,26500,25342,9810,79441,16304,50610,27660,54337,21520,19763,74608,36175,50513,14172,3974,47057,93122,10,2,3580,0,1862,533,319,1,0,7,42,11,32,6,0,4584,8,0,0,10,0,207,0.000486997175416383,2.61181847861574e-05,0.0711984407939223,0,0.102100126117234,0.0201132075471698,0.0125877989108989,0.000101936799184506,0,0.000429342492639843,0.000829875518672199,0.000397686189443239,0.000588917312328616,0.000278810408921933,0,0.0614411323182501,0.000221147201105736,0,0,0.00251635631605435,0,0.00222289040183845
"7",7,21932,20375,74132,40974,57610,15083,25308,25007,9775,78528,16278,46971,27641,54301,21514,19760,69930,35961,50484,14164,3910,37611,196,0,8859,0,12,3,3085,133,0,700,1,2736,343,7,1,3702,0,0,580,0,0,0,0.00893671347802298,0,0.119503048615982,0,0.000208297170630099,0.000198899423191673,0.121898214003477,0.00531851081697125,0,0.00891401792991035,6.14326084285539e-05,0.0582487066487833,0.0124091024203176,0.00012891106977772,4.64813609742493e-05,0.187348178137652,0,0,0.0114887885270581,0,0,0
"8",8,49032,20988,20373,61657,40853,50226,15073,22163,24824,9314,77798,16213,44151,27293,54291,21496,14137,57760,35931,46537,9285,3370,7,23,10628,9,1817,9,5,0,0,0,3,5,63,5,4,340,5,234,0,0,0,108,0.000142763909283733,0.00109586430341147,0.521670838855348,0.00014596882754594,0.0444765378307591,0.000179190060924621,0.000331718967690573,0,0,0,3.85614026067508e-05,0.000308394498242151,0.00142692124753686,0.000183197156780127,7.36770367095835e-05,0.0158168961667287,0.000353681827827686,0.00405124653739612,0,0,0,0.0320474777448071
"9",9,41454,41963,20936,9729,54884,29599,43517,10595,21009,24814,9123,67827,15929,39122,27033,49765,19897,8584,50258,32256,41336,9147,939,107,261,0,10,850,4,0,0,19,12,4931,164,13,9045,9445,1,1,347,0,1039,0,0.0226516138370242,0.00254986535757691,0.0124665647688193,0,0.000182202463377305,0.0287171863914321,9.19181009720339e-05,0,0,0.000765696784073507,0.00131535679052943,0.0726996623763398,0.0102956871115575,0.000332293850007668,0.334591055376762,0.189792022505777,5.0258832989898e-05,0.000116495806150979,0.00690437343308528,0,0.0251354751306367,0
"10",10,30592,37403,38052,20626,9708,50480,28033,37251,10554,21005,15974,8936,40755,15439,39075,17818,22058,12978,8583,42980,24770,36773,6,0,10020,0,0,656,0,2,1,3493,0,2324,673,2,1207,265,453,0,0,4,0,105,0.000196129707112971,0,0.263323872595396,0,0,0.0129952456418384,0,5.36898338299643e-05,9.47508053818457e-05,0.166293739585813,0,0.260071620411817,0.0165133112501534,0.000129542068786839,0.0308893154190659,0.0148726007408239,0.020536766705957,0,0,9.30665425779432e-05,0,0.00285535583172436
"11",11,13186,28083,37240,22505,18607,9690,45833,20445,32948,10527,17228,14128,3641,39931,15436,33907,15151,17041,4624,4978,38108,24600,16,0,6556,1,92,0,32,0,0,4,5,146,23,0,1,7627,0,53,0,0,16,7,0.00121340816016988,0,0.176047261009667,4.44345700955343e-05,0.00494437577255871,0,0.000698186895904697,0,0,0.000379975301605396,0.000290225214766659,0.0103340883352208,0.00631694589398517,0,6.47836227001814e-05,0.22493880319698,0,0.00311014611818555,0,0,0.000419859347118715,0.000284552845528455
"12",12,12841,12808,25636,24022,22480,18194,8788,38705,18657,26844,7709,15345,13643,3617,39909,15320,21983,14127,15284,4352,4662,34311,0,0,80,0,346,394,2,554,4,21,72,37,356,0,0,1640,0,0,0,3,58,47,0,0,0.00312061163988142,0,0.0153914590747331,0.0216554908211498,0.000227583067819754,0.0143133962020411,0.000214396741169534,0.00078229772016093,0.00933973277986769,0.00241120886282177,0.0260939676024335,0,0,0.107049608355091,0,0,0,0.000689338235294118,0.0124410124410124,0.00136982308880534
"13",13,22916,12599,11570,19977,19304,22058,16942,8186,36001,18649,20802,7551,15304,13262,3617,24163,13289,19040,9942,11626,3788,4214,23,4,130,0,28,53,5,9,8,8871,667,5,29,0,4,312,0,0,0,1,0,0,0.00100366556117996,0.000317485514723391,0.0112359550561798,0,0.0014504765851637,0.00240275636957113,0.000295124542556959,0.00109943806498901,0.000222216049554179,0.475682342216741,0.0320642245937891,0.000662163951794464,0.00189492943021432,0,0.00110588885816975,0.0129123039357696,0,0,0,8.60141063134354e-05,0,0
"14",14,8138,17497,12406,11330,19875,12540,19910,11711,8177,31591,7529,11421,5527,15198,13256,3609,19529,10894,17757,9742,11263,3737,6,4,433,3,17,1148,1,0,0,19,114,0,29,4,3277,397,0,0,387,0,1,0,0.000737281887441632,0.000228610618963251,0.0349024665484443,0.000264783759929391,0.000855345911949686,0.0915470494417863,5.02260170768458e-05,0,0,0.000601437118166566,0.0151414530482136,0,0.00524696942283336,0.000263192525332281,0.247208811104406,0.110002770850651,0,0,0.0217942219969589,0,8.87862913966084e-05,0
"15",15,8016,7277,17467,10241,10819,16449,10982,14962,11704,8104,25215,6209,11126,5498,15171,6845,3210,17322,8997,14757,8980,11260,48,0,4231,34,16,105,19,128,0,2161,1779,18,96,0,0,148,17,0,0,0,0,1067,0.00598802395209581,0,0.242228201751875,0.0033199882823943,0.00147887974859044,0.00638336677001641,0.00173010380622837,0.0085550060152386,0,0.266658440276407,0.070553242117787,0.00289901755516186,0.00862843789322308,0,0,0.0216216216216216,0.00529595015576324,0,0,0,0,0.0947602131438721
"16",16,12891,7827,7277,13235,10198,9013,14550,10455,14804,11625,2131,21131,6070,11029,5205,13673,6409,3021,14476,8017,12567,8977,47,0,2,0,52,883,328,3,0,22,16,194,860,70,0,3026,0,0,0,1,0,0,0.00364595454192848,0,0.000274838532362237,0,0.00509903902726025,0.0979695994674359,0.0225429553264605,0.000286944045911047,0,0.00189247311827957,0.00750821210699202,0.00918082438124083,0.14168039538715,0.00634690361773506,0,0.221312074892123,0,0,0,0.000124734938256206,0,0
"17",17,7167,12502,7821,7074,13140,4178,8066,14019,10093,14596,6400,2114,15907,5177,8889,5202,10425,4903,1777,7642,8006,10171,59,8,1446,0,0,116,10,109,0,54,64,0,1580,3,11,45,0,0,0,0,0,0,0.0082321752476629,0.000639897616381379,0.184886843114691,0,0,0.0277644806127334,0.00123977188197372,0.00777516227976318,0,0.00369964373801041,0.01,0,0.0993273401647074,0.000579486188912498,0.00123748453144336,0.00865051903114187,0,0,0,0,0,0
"18",18,9071,7100,12458,6375,7011,8389,2948,7956,13889,9924,11033,6187,2114,14327,5080,8534,3480,9948,4486,1774,6643,5478,0,0,4057,0,4,14,74,40,3,2,0,2054,348,2,0,471,0,1,0,0,0,267,0,0,0.325654198105635,0,0.000570532021109685,0.00166885206818453,0.0251017639077341,0.00502765208647562,0.000215998272013824,0.000201531640467553,0,0.331986423145305,0.164616840113529,0.000139596565924478,0,0.0551910007030701,0,0.000100522718134298,0,0,0,0.0487404162102957
"19",19,4339,8298,7072,8327,4918,6749,8325,2667,7895,12759,9096,10733,4130,1766,14266,4962,8042,3171,7950,4034,1773,4214,0,5,672,0,621,146,0,58,0,0,0,800,669,0,0,572,3,0,0,0,0,2,0,0.000602554832489757,0.0950226244343891,0,0.126270841805612,0.0216328344939991,0,0.0217472815898013,0,0,0,0.0745364762880835,0.161985472154964,0,0,0.115276098347441,0.000373041531957225,0,0,0,0,0.000474608448030375
"20",20,5002,4301,8293,6399,8259,3409,6510,7994,2570,5626,8408,9096,9910,3431,1327,14192,4135,7288,3165,7407,3201,1757,0,0,0,0,0,23,0,0,0,183,19,1,8,1,0,4210,0,0,0,0,0,11,0,0,0,0,0,0.00674684658257554,0,0,0,0.0325275506576609,0.00225975261655566,0.000109938434476693,0.000807265388496468,0.00029146021568056,0,0.296645997745209,0,0,0,0,0,0.00626067159931702
"21",21,2300,4920,3001,8255,5487,8001,3244,6216,6914,2518,4434,7753,9060,9882,3430,1327,8729,3810,5101,3158,7249,3028,1,0,58,142,33,0,0,0,0,9,0,19,964,0,0,490,292,0,0,0,0,0,0.000434782608695652,0,0.0193268910363212,0.0172016959418534,0.00601421541826134,0,0,0,0,0.00357426528991263,0,0.00245066425899652,0.106401766004415,0,0,0.369253956292389,0.033451712681865,0,0,0,0,0
"22",22,1695,2299,4919,2943,8111,5237,7993,3212,6036,5656,2486,4396,7291,8096,9612,3085,732,6968,3719,4990,3138,4254,0,0,4,0,3,14,0,0,2,69,548,0,224,2,40,102,0,0,0,0,0,6,0,0,0.000813173409229518,0,0.000369868080384663,0.0026732862325759,0,0,0.000331345261762757,0.0121994342291372,0.220434432823813,0,0.0307228089425319,0.00024703557312253,0.00416146483562214,0.033063209076175,0,0,0,0,0,0.00141043723554302
"23",23,1171,1679,2298,4735,2922,7158,5127,2210,3212,5697,3439,1933,3783,7067,8092,7609,1312,732,6905,3630,3998,1558,0,0,4,0,0,24,2,0,0,28,0,228,686,0,27,1241,0,0,1,0,0,4,0,0,0.00174064403829417,0,0,0.00335289186923722,0.000390091671542813,0,0,0.00491486747410918,0,0.117951370926022,0.181337562780862,0,0.00333662876915472,0.163096333289526,0,0,0.000144822592324403,0,0,0.00256739409499358
"24",24,632,1170,1569,2294,4667,2685,7042,4804,2210,3207,2950,3174,1705,3092,7013,7768,6146,1249,726,5761,3597,3992,11,0,12,0,0,0,2,0,0,58,7,1,4,2,0,690,2,0,0,1,0,0,0.0174050632911392,0,0.00764818355640535,0,0,0,0.000284010224368077,0,0,0.0180854381041472,0.0023728813559322,0.000315059861373661,0.00234604105571848,0.000646830530401035,0,0.0888259526261586,0.000325414904002603,0,0,0.000173580975525082,0,0
"25",25,1868,621,1170,1557,2279,3589,2681,3136,4797,2199,2503,2909,3147,1700,3090,6987,5633,6092,1201,440,5753,3210,0,0,1,1,0,3,88,0,0,0,13,0,82,0,0,2843,0,0,0,4,0,0,0,0,0.000854700854700855,0.000642260757867694,0,0.000835887433825578,0.0328235732935472,0,0,0,0.00519376747902517,0,0.0260565618048936,0,0,0.406898525833691,0,0,0,0.00909090909090909,0,0
"26",26,681,1868,588,1165,1443,2278,3584,2430,3135,4794,2117,2450,2619,3065,1699,3088,3739,5623,4565,1200,436,5728,0,0,23,0,0,10,1,502,0,0,0,3,186,0,0,668,0,1,0,0,0,705,0,0,0.0391156462585034,0,0,0.00438981562774363,0.000279017857142857,0.206584362139918,0,0,0,0.00122448979591837,0.0710194730813287,0,0,0.216321243523316,0,0.000177841010136938,0,0,0,0.123079608938547
"27",27,809,680,1868,565,1165,1442,2183,2969,1375,3074,4690,2113,2433,2433,3020,1203,2371,3594,4786,4555,1149,436,0,0,1012,0,0,88,0,0,0,0,147,0,4,0,0,204,0,0,0,0,0,0,0,0,0.541755888650964,0,0,0.0610263522884882,0,0,0,0,0.0313432835820895,0,0.00164406083025072,0,0,0.169576059850374,0,0,0,0,0,0
"28",28,2100,781,680,856,548,442,1354,1777,2968,1251,2822,4426,2095,2429,2413,3020,927,2367,3415,4707,4468,1141,3,0,0,0,0,3,0,0,0,8,455,1422,534,0,0,143,0,0,0,0,0,124,0.00142857142857143,0,0,0,0,0.00678733031674208,0,0,0,0.00639488409272582,0.161233167965982,0.321283325802079,0.254892601431981,0,0,0.0473509933774834,0,0,0,0,0,0.108676599474145
